Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
2026-01-12 01:17:29,STOPPED,0,0,0,0,0,0,0,1,0
2026-01-12 01:17:31,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-12 01:17:46,GREEN,0.1,0.0,0.0,0,0,0.6,0.0,100.0,0.0
2026-01-12 01:17:53,RED,6.6,0.0,0.1,0,0,28.5,0.0,100.0,0.0
2026-01-12 01:17:56,YELLOW,6.6,0.1,3.4,0,0,24.9,0.0,100.0,0.0
2026-01-12 01:18:00,RED,6.6,4.1,3.5,0,0,21.5,0.0,100.0,0.0
2026-01-12 01:18:08,YELLOW,6.6,4.2,11.3,0,0,17.1,0.0,100.0,0.0
2026-01-12 01:18:15,RED,6.6,11.0,11.4,0,0,14.6,0.0,100.0,0.0
2026-01-12 01:18:17,GREEN,6.7,11.0,13.8,0,0,14.0,0.0,100.0,0.0
2026-01-12 01:18:22,YELLOW,11.3,11.1,13.8,0,0,21.4,0.0,100.0,0.0
2026-01-12 01:18:25,RED,11.3,14.2,13.9,0,0,20.2,0.0,100.0,0.0
2026-01-12 01:18:27,GREEN,11.4,14.2,15.6,0,0,19.7,0.0,100.0,0.0
2026-01-12 01:18:40,RED,24.3,14.2,15.7,1,0,34.3,82.4,100.0,28.3
2026-01-12 01:18:43,YELLOW,24.3,14.3,19.0,1,0,32.8,82.4,100.0,27.0
2026-01-12 01:18:46,GREEN,24.4,17.0,19.0,1,0,31.7,82.0,100.0,26.0
