Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
2026-01-13 17:28:10,STOPPED,0,0,0,0,0,0,0,1,0
2026-01-13 17:28:12,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-13 17:28:31,GREEN,0.1,0.0,0.0,0,0,0.5,0.0,100.0,0.0
2026-01-13 17:28:54,RED,22.5,0.0,0.1,2,0,50.6,75.6,100.0,38.3
2026-01-13 17:28:55,YELLOW,22.5,0.1,0.9,2,0,49.6,75.6,100.0,37.5
2026-01-13 17:28:57,RED,22.5,1.8,1.0,2,0,47.7,75.6,100.0,36.1
2026-01-13 17:29:01,GREEN,22.6,1.8,5.2,2,0,44.0,75.3,100.0,33.1
2026-01-13 17:29:30,YELLOW,51.2,1.9,5.2,6,0,64.0,99.5,100.0,63.7
2026-01-13 17:29:31,GREEN,51.3,3.4,5.2,6,0,62.8,99.3,100.0,62.4
2026-01-13 17:29:35,YELLOW,55.3,3.5,5.2,6,0,64.4,92.3,100.0,59.4
2026-01-13 17:29:38,GREEN,55.4,5.8,5.2,6,0,62.8,92.1,100.0,57.8
2026-01-13 17:30:44,YELLOW,122.0,5.9,5.2,14,0,78.8,97.5,100.0,76.8
2026-01-13 17:30:49,GREEN,122.1,10.0,5.2,14,0,76.7,97.5,100.0,74.8
2026-01-13 17:31:17,YELLOW,150.7,10.1,5.2,17,0,80.2,95.9,100.0,76.9
2026-01-13 17:31:22,GREEN,150.8,14.9,5.2,17,0,78.3,95.8,100.0,75.0
2026-01-13 17:31:40,YELLOW,168.6,15.0,5.2,19,0,80.1,95.8,100.0,76.7
2026-01-13 17:31:43,GREEN,168.7,17.7,5.2,19,0,79.1,95.7,100.0,75.7
2026-01-13 17:31:47,YELLOW,172.3,17.8,5.2,20,0,79.4,98.7,100.0,78.3
2026-01-13 17:31:48,GREEN,172.4,19.6,5.2,20,0,78.7,98.6,100.0,77.7
2026-01-13 17:32:03,YELLOW,186.9,19.7,5.2,21,0,80.0,95.5,100.0,76.4
2026-01-13 17:32:04,GREEN,187.0,20.9,5.2,22,0,79.6,100.0,100.0,79.6
2026-01-13 17:32:20,YELLOW,202.3,21.0,5.2,23,0,80.8,96.6,100.0,78.1
2026-01-13 17:32:22,GREEN,202.4,22.8,5.2,23,0,80.3,96.6,100.0,77.5
2026-01-13 17:32:27,YELLOW,207.5,22.9,5.2,24,0,80.6,98.3,100.0,79.3
2026-01-13 17:32:31,GREEN,207.6,26.8,5.2,24,0,79.4,98.3,100.0,78.0
2026-01-13 17:32:37,YELLOW,213.6,26.9,5.2,25,0,79.8,99.5,100.0,79.4
2026-01-13 17:32:38,GREEN,213.7,27.8,5.2,25,0,79.6,99.4,100.0,79.1
2026-01-13 17:32:59,YELLOW,234.2,27.9,5.2,27,0,81.0,98.0,100.0,79.4
2026-01-13 17:33:05,GREEN,234.3,34.3,5.2,27,0,79.3,98.0,100.0,77.7
2026-01-13 17:33:13,YELLOW,241.9,34.4,5.2,28,0,79.8,98.4,100.0,78.5
2026-01-13 17:33:21,GREEN,242.0,42.2,5.2,28,0,77.8,98.3,100.0,76.5
2026-01-13 17:33:37,YELLOW,258.1,42.3,5.2,30,0,78.8,98.8,100.0,77.9
2026-01-13 17:33:39,GREEN,258.2,44.1,5.2,30,0,78.4,98.8,100.0,77.4
2026-01-13 17:33:45,YELLOW,264.7,44.2,5.2,30,0,78.8,96.3,100.0,75.9
2026-01-13 17:33:48,GREEN,264.8,46.1,5.2,30,0,78.4,96.3,100.0,75.4
