Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
16:36:09,STOPPED,0,0,0,0,0,0,0,1,0
16:36:11,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
16:39:23,GREEN,0.1,0.0,0.0,0,0,0.1,0.0,100.0,0.0
16:39:29,RED,5.9,0.0,0.1,0,0,3.0,0.0,100.0,0.0
16:39:31,YELLOW,5.9,0.1,2.2,0,0,2.9,0.0,100.0,0.0
16:39:33,RED,5.9,2.3,2.3,0,0,2.9,0.0,100.0,0.0
16:39:36,GREEN,6.0,2.3,5.4,0,0,2.9,0.0,100.0,0.0
16:50:59,RED,688.4,2.3,5.5,30,0,77.4,87.2,100.0,67.5
16:51:01,YELLOW,688.4,2.4,8.1,30,0,77.2,87.2,100.0,67.3
16:51:21,RED,688.4,21.5,8.2,30,0,75.5,87.2,100.0,65.8
16:51:23,YELLOW,688.4,21.6,10.0,30,0,75.4,87.2,100.0,65.7
16:51:24,GREEN,688.5,23.5,10.0,30,0,75.2,87.1,100.0,65.6
16:58:15,RED,1099.3,23.5,10.1,30,0,82.9,54.6,100.0,45.2
16:58:18,YELLOW,1099.3,23.6,12.3,30,0,82.8,54.6,100.0,45.2
17:00:41,RED,1099.3,166.7,12.4,30,0,74.7,54.6,100.0,40.8
17:00:42,YELLOW,1099.3,166.8,13.7,30,0,74.6,54.6,100.0,40.7
17:00:55,RED,1099.3,179.6,13.9,30,0,74.0,54.6,100.0,40.4
17:00:57,YELLOW,1099.3,179.7,15.2,30,0,73.9,54.6,100.0,40.3
