Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
2026-01-11 16:06:05,STOPPED,0,0,0,0,0,0,0,1,0
2026-01-11 16:06:07,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-11 16:06:30,GREEN,0.1,0.0,0.0,0,0,0.4,0.0,100.0,0.0
2026-01-11 16:06:48,RED,17.6,0.0,0.1,0,0,41.0,0.0,100.0,0.0
2026-01-11 16:06:48,YELLOW,17.6,0.1,0.8,0,0,40.2,0.0,100.0,0.0
2026-01-11 16:06:59,GREEN,17.7,10.1,0.8,0,0,32.9,0.0,100.0,0.0
2026-01-11 16:07:21,RED,39.8,10.1,0.9,1,0,52.3,50.3,100.0,26.3
2026-01-11 16:07:21,YELLOW,39.8,10.2,1.4,1,0,51.9,50.3,100.0,26.1
2026-01-11 16:07:36,GREEN,39.9,24.7,1.4,1,0,43.7,50.1,100.0,21.9
2026-01-11 16:08:43,YELLOW,107.3,24.8,1.4,5,0,67.6,93.2,100.0,63.0
2026-01-11 16:08:57,GREEN,107.4,38.4,1.4,5,0,62.3,93.1,100.0,58.0
2026-01-11 16:09:09,YELLOW,119.5,38.5,1.4,5,0,64.7,83.7,100.0,54.2
2026-01-11 16:09:30,GREEN,119.6,58.6,1.4,5,0,58.4,83.6,100.0,48.8
2026-01-11 16:09:51,YELLOW,141.2,58.7,1.4,7,0,62.3,99.1,100.0,61.8
2026-01-11 16:10:05,GREEN,141.3,72.8,1.4,7,0,58.7,99.1,100.0,58.2
2026-01-11 16:10:23,YELLOW,158.3,72.9,1.4,7,0,61.4,88.4,100.0,54.3
2026-01-11 16:10:50,GREEN,158.4,99.8,1.4,7,0,55.6,88.4,100.0,49.1
2026-01-11 16:10:56,YELLOW,164.6,99.9,1.4,8,0,56.5,97.2,100.0,55.0
2026-01-11 16:11:27,GREEN,164.7,130.7,1.4,8,0,51.1,97.2,100.0,49.7
2026-01-11 16:12:12,YELLOW,210.1,130.9,1.4,10,0,57.2,95.2,100.0,54.4
2026-01-11 16:12:27,GREEN,210.2,145.4,1.4,10,0,55.0,95.1,100.0,52.3
2026-01-11 16:12:58,YELLOW,241.5,145.5,1.4,12,0,58.4,99.4,100.0,58.0
2026-01-11 16:13:08,GREEN,241.6,154.7,1.4,12,0,57.1,99.3,100.0,56.8
2026-01-11 16:13:31,YELLOW,264.6,154.8,1.4,13,0,59.3,98.3,100.0,58.3
2026-01-11 16:13:35,GREEN,264.7,159.1,1.4,13,0,58.8,98.2,100.0,57.7
2026-01-11 16:14:12,YELLOW,301.3,159.2,1.4,15,0,61.8,99.6,100.0,61.6
2026-01-11 16:14:28,GREEN,301.4,175.5,1.4,15,0,59.9,99.5,100.0,59.6
2026-01-11 16:15:32,RED,365.4,175.5,1.5,18,0,64.4,98.5,100.0,63.4
2026-01-11 16:16:55,GREEN,365.5,175.5,83.8,18,0,56.2,98.5,100.0,55.4
