Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
17:57:50,STOPPED,0,0,0,0,0,0,0,1,0
17:57:52,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
17:58:21,GREEN,0.1,0.0,0.0,0,0,0.3,0.0,100.0,0.0
17:59:25,YELLOW,64.6,0.1,0.0,3,0,68.0,92.9,100.0,63.2
17:59:30,GREEN,64.7,4.6,0.0,3,0,65.0,92.7,100.0,60.2
17:59:37,YELLOW,72.1,4.7,0.0,3,0,67.3,83.2,100.0,56.0
17:59:44,GREEN,72.2,11.5,0.0,3,0,63.4,83.1,100.0,52.7
17:59:51,YELLOW,78.9,11.6,0.0,3,0,65.4,76.0,100.0,49.7
17:59:54,GREEN,79.0,14.0,0.0,3,0,64.1,75.9,100.0,48.6
18:00:47,YELLOW,132.8,14.1,0.0,6,0,74.9,90.4,100.0,67.7
18:00:52,GREEN,132.9,18.3,0.0,6,0,73.2,90.3,100.0,66.1
18:01:15,YELLOW,156.0,18.4,0.0,7,0,76.2,89.8,100.0,68.4
18:01:24,GREEN,156.1,27.5,0.0,7,0,73.0,89.7,100.0,65.5
18:03:03,YELLOW,254.6,27.6,0.0,12,0,81.5,94.3,100.0,76.8
18:03:08,GREEN,254.7,32.5,0.0,12,0,80.2,94.2,100.0,75.6
