Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
2026-01-13 16:44:17,STOPPED,0,0,0,0,0,0,0,1,0
2026-01-13 16:44:19,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-13 16:44:42,GREEN,0.1,0.0,0.0,0,0,0.4,0.0,100.0,0.0
2026-01-13 16:45:25,YELLOW,42.5,0.1,0.0,5,0,62.4,99.9,100.0,62.4
2026-01-13 16:45:41,GREEN,42.6,16.5,0.0,5,0,50.4,99.7,100.0,50.2
2026-01-13 16:46:08,YELLOW,68.9,16.6,0.0,8,0,62.1,98.7,100.0,61.2
2026-01-13 16:46:21,RED,68.9,30.1,0.1,8,0,55.3,98.7,100.0,54.6
2026-01-13 16:46:23,GREEN,69.0,30.1,1.2,8,0,54.9,98.5,100.0,54.0
2026-01-13 16:46:52,RED,98.1,30.1,1.3,11,0,63.3,95.3,100.0,60.3
2026-01-13 16:46:53,YELLOW,98.1,30.2,2.7,11,0,62.7,95.3,100.0,59.8
2026-01-13 16:47:17,GREEN,98.2,53.4,2.7,11,0,54.6,95.2,100.0,52.0
2026-01-13 16:47:26,RED,107.2,53.4,2.8,12,0,56.8,95.2,100.0,54.0
2026-01-13 16:47:26,YELLOW,107.2,53.5,3.3,12,0,56.6,95.2,100.0,53.8
2026-01-13 16:47:37,GREEN,107.3,63.8,3.3,12,0,53.7,95.1,100.0,51.0
2026-01-13 16:48:38,YELLOW,168.5,64.0,3.3,19,0,64.5,95.9,100.0,61.8
2026-01-13 16:49:11,GREEN,168.6,97.2,3.3,19,0,57.2,95.8,100.0,54.8
2026-01-13 16:49:20,YELLOW,177.6,97.3,3.3,20,0,58.5,95.7,100.0,56.0
2026-01-13 16:49:40,GREEN,177.7,116.8,3.3,20,0,55.0,95.7,100.0,52.6
2026-01-13 16:51:09,RED,266.0,116.8,3.4,30,0,64.6,95.9,100.0,61.9
2026-01-13 16:51:38,GREEN,266.1,116.8,32.7,30,0,60.3,95.8,100.0,57.8
2026-01-13 16:52:06,RED,294.5,116.8,32.8,30,0,62.7,86.6,100.0,54.3
2026-01-13 16:52:09,GREEN,294.6,116.8,35.1,30,0,62.4,86.5,100.0,54.0
2026-01-13 16:52:12,YELLOW,297.8,116.9,35.1,30,0,62.7,85.6,100.0,53.7
2026-01-13 16:52:29,GREEN,297.9,133.4,35.1,30,0,60.6,85.6,100.0,51.8
