Timestamp,State,Prod_Time,Setup_Time,Down_Time,Total_Count,Defects,A,P,Q,OEE
2026-01-13 15:50:25,STOPPED,0,0,0,0,0,0,0,1,0
2026-01-13 15:50:27,STOPPED,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-13 16:02:03,GREEN,0.1,0.0,0.0,0,0,0.0,0.0,100.0,0.0
2026-01-13 16:02:08,YELLOW,5.0,0.1,0.0,0,0,0.7,0.0,100.0,0.0
2026-01-13 16:02:13,RED,5.0,5.5,0.1,0,0,0.7,0.0,100.0,0.0
2026-01-13 16:02:16,GREEN,5.1,5.5,3.2,0,0,0.7,0.0,100.0,0.0
2026-01-13 16:03:20,YELLOW,68.9,5.6,3.2,3,0,8.9,87.1,100.0,7.7
2026-01-13 16:03:38,RED,68.9,22.7,3.3,3,0,8.7,87.1,100.0,7.6
2026-01-13 16:04:01,YELLOW,68.9,22.8,26.8,3,0,8.4,87.1,100.0,7.4
2026-01-13 16:04:02,GREEN,69.0,23.6,26.8,3,0,8.4,86.9,100.0,7.3
2026-01-13 16:05:52,RED,178.9,23.6,26.9,8,0,19.3,89.4,100.0,17.3
2026-01-13 16:05:54,YELLOW,178.9,23.7,29.0,8,0,19.3,89.4,100.0,17.2
2026-01-13 16:05:58,GREEN,179.0,26.9,29.0,8,0,19.2,89.4,100.0,17.2
2026-01-13 16:06:27,RED,207.9,26.9,29.1,10,0,21.6,96.2,100.0,20.8
2026-01-13 16:06:30,YELLOW,207.9,27.0,32.8,10,0,21.5,96.2,100.0,20.7
2026-01-13 16:06:35,RED,207.9,31.4,33.0,10,0,21.4,96.2,100.0,20.6
2026-01-13 16:06:47,GREEN,208.0,31.4,44.5,10,0,21.2,96.1,100.0,20.4
2026-01-13 16:07:00,YELLOW,221.2,31.5,44.5,11,0,22.2,99.5,100.0,22.1
2026-01-13 16:07:02,RED,221.2,33.1,44.6,11,0,22.2,99.5,100.0,22.1
2026-01-13 16:08:14,YELLOW,221.2,33.2,116.5,11,0,20.7,99.5,100.0,20.6
2026-01-13 16:08:18,RED,221.2,38.0,116.6,11,0,20.6,99.5,100.0,20.5
2026-01-13 16:08:28,GREEN,221.3,38.0,125.9,11,0,20.4,99.4,100.0,20.3
2026-01-13 16:08:29,RED,222.2,38.0,126.0,11,0,20.5,99.0,100.0,20.3
2026-01-13 16:08:31,YELLOW,222.2,38.1,128.2,11,0,20.5,99.0,100.0,20.3
2026-01-13 16:11:26,GREEN,222.3,213.3,128.2,11,0,17.6,99.0,100.0,17.4
2026-01-13 16:20:33,RED,768.8,213.3,128.3,30,0,42.5,78.0,100.0,33.2
2026-01-13 16:20:36,YELLOW,768.8,213.4,131.0,30,0,42.5,78.0,100.0,33.1
